PX409-USBH - 487885,,PX409-USBH - 487884,
Units:,psi,Units:,psi
Custom Scalar:,none,Custom Scalar:,none
Custom Offset:,none,Custom Offset:,none
Start:,2025-07-28 11:27:04.244,Start:,2025-07-28 11:27:04.114
End:,2025-07-28 01:41:03.461,End:,2025-07-28 01:41:03.388
Count:,40464,Count:,40455
Low:,-14.6091842651367,Low:,-15.5867481231689
High:,1521.8125,High:,1518.83020019531

Time,Value,Time,Value
2025-07-28 11:27:19.145 AM,-14.4114551544189,2025-07-28 11:27:19.019 AM,-15.3719844818115
2025-07-28 11:27:19.344 AM,-14.4204063415527,2025-07-28 11:27:19.218 AM,-15.3711700439453
2025-07-28 11:27:19.542 AM,-14.4431896209717,2025-07-28 11:27:19.416 AM,-15.3703556060791
2025-07-28 11:27:19.741 AM,-14.4537677764893,2025-07-28 11:27:19.615 AM,-15.3858127593994
2025-07-28 11:27:19.940 AM,-14.4448165893555,2025-07-28 11:27:19.814 AM,-15.3947620391846
2025-07-28 11:27:20.138 AM,-14.4456310272217,2025-07-28 11:27:20.013 AM,-15.391508102417
2025-07-28 11:27:20.337 AM,-14.4187793731689,2025-07-28 11:27:20.211 AM,-15.383373260498
2025-07-28 11:27:20.536 AM,-14.3984355926514,2025-07-28 11:27:20.410 AM,-15.4028968811035
2025-07-28 11:27:20.734 AM,-14.39111328125,2025-07-28 11:27:20.609 AM,-15.4061508178711
2025-07-28 11:27:20.933 AM,-14.38134765625,2025-07-28 11:27:20.807 AM,-15.3931350708008
2025-07-28 11:27:21.132 AM,-14.3715839385986,2025-07-28 11:27:21.006 AM,-15.3996429443359
2025-07-28 11:27:21.330 AM,-14.3984355926514,2025-07-28 11:27:21.205 AM,-15.3768653869629
2025-07-28 11:27:21.529 AM,-14.4252872467041,2025-07-28 11:27:21.404 AM,-15.3906936645508
2025-07-28 11:27:21.728 AM,-14.4366798400879,2025-07-28 11:27:21.602 AM,-15.380931854248
2025-07-28 11:27:21.926 AM,-14.4513263702393,2025-07-28 11:27:21.801 AM,-15.3736114501953
2025-07-28 11:27:22.125 AM,-14.4261016845703,2025-07-28 11:27:22.000 AM,-15.3711700439453
2025-07-28 11:27:22.324 AM,-14.4342384338379,2025-07-28 11:27:22.199 AM,-15.3451385498047
2025-07-28 11:27:22.522 AM,-14.4301700592041,2025-07-28 11:27:22.397 AM,-15.3508319854736
2025-07-28 11:27:22.721 AM,-14.4440040588379,2025-07-28 11:27:22.596 AM,-15.358154296875
2025-07-28 11:27:22.920 AM,-14.4610900878906,2025-07-28 11:27:22.795 AM,-15.3768653869629
2025-07-28 11:27:23.118 AM,-14.4464435577393,2025-07-28 11:27:22.993 AM,-15.3841857910156
2025-07-28 11:27:23.317 AM,-14.4488849639893,2025-07-28 11:27:23.192 AM,-15.3955745697021
2025-07-28 11:27:23.516 AM,-14.4472579956055,2025-07-28 11:27:23.391 AM,-15.389066696167
2025-07-28 11:27:23.714 AM,-14.4480724334717,2025-07-28 11:27:23.590 AM,-15.3744239807129
2025-07-28 11:27:23.913 AM,-14.4374942779541,2025-07-28 11:27:23.788 AM,-15.3760509490967
2025-07-28 11:27:24.112 AM,-14.4309844970703,2025-07-28 11:27:23.987 AM,-15.3776779174805
2025-07-28 11:27:24.311 AM,-14.4106407165527,2025-07-28 11:27:24.186 AM,-15.3850002288818
2025-07-28 11:27:24.509 AM,-14.4122695922852,2025-07-28 11:27:24.385 AM,-15.383373260498
2025-07-28 11:27:24.708 AM,-14.4008769989014,2025-07-28 11:27:24.583 AM,-15.3687286376953
2025-07-28 11:27:24.907 AM,-14.4171504974365,2025-07-28 11:27:24.782 AM,-15.3654747009277
2025-07-28 11:27:25.105 AM,-14.3992500305176,2025-07-28 11:27:24.981 AM,-15.3573398590088
2025-07-28 11:27:25.304 AM,-14.3976230621338,2025-07-28 11:27:25.179 AM,-15.3565273284912
2025-07-28 11:27:25.503 AM,-14.4098281860352,2025-07-28 11:27:25.378 AM,-15.3638477325439
2025-07-28 11:27:25.701 AM,-14.4000625610352,2025-07-28 11:27:25.577 AM,-15.3736114501953
2025-07-28 11:27:25.900 AM,-14.4293575286865,2025-07-28 11:27:25.776 AM,-15.383373260498
2025-07-28 11:27:26.099 AM,-14.4358654022217,2025-07-28 11:27:25.974 AM,-15.380931854248
2025-07-28 11:27:26.297 AM,-14.4358654022217,2025-07-28 11:27:26.173 AM,-15.3638477325439
2025-07-28 11:27:26.496 AM,-14.4545822143555,2025-07-28 11:27:26.372 AM,-15.3793048858643
2025-07-28 11:27:26.695 AM,-14.4521408081055,2025-07-28 11:27:26.571 AM,-15.4102191925049
2025-07-28 11:27:26.893 AM,-14.4204063415527,2025-07-28 11:27:26.769 AM,-15.4256744384766
2025-07-28 11:27:27.092 AM,-14.4317970275879,2025-07-28 11:27:26.968 AM,-15.4443855285645
2025-07-28 11:27:27.291 AM,-14.4236602783203,2025-07-28 11:27:27.167 AM,-15.4240474700928
2025-07-28 11:27:27.489 AM,-14.4155235290527,2025-07-28 11:27:27.365 AM,-15.4175395965576
2025-07-28 11:27:27.688 AM,-14.4374942779541,2025-07-28 11:27:27.564 AM,-15.4175395965576
2025-07-28 11:27:27.887 AM,-14.4334259033203,2025-07-28 11:27:27.763 AM,-15.4264888763428
2025-07-28 11:27:28.085 AM,-14.452953338623,2025-07-28 11:27:27.962 AM,-15.447639465332
2025-07-28 11:27:28.284 AM,-14.475736618042,2025-07-28 11:27:28.160 AM,-15.458215713501
2025-07-28 11:27:28.483 AM,-14.475736618042,2025-07-28 11:27:28.359 AM,-15.4696044921875
2025-07-28 11:27:28.682 AM,-14.4789924621582,2025-07-28 11:27:28.558 AM,-15.4744853973389
2025-07-28 11:27:28.880 AM,-14.4521408081055,2025-07-28 11:27:28.756 AM,-15.4842472076416
2025-07-28 11:27:29.079 AM,-14.4391212463379,2025-07-28 11:27:28.955 AM,-15.4663505554199
2025-07-28 11:27:29.278 AM,-14.4496994018555,2025-07-28 11:27:29.154 AM,-15.4484539031982
2025-07-28 11:27:29.476 AM,-14.4456310272217,2025-07-28 11:27:29.353 AM,-15.4565887451172
2025-07-28 11:27:29.675 AM,-14.4440040588379,2025-07-28 11:27:29.551 AM,-15.458215713501
2025-07-28 11:27:29.874 AM,-14.462718963623,2025-07-28 11:27:29.750 AM,-15.4875011444092
2025-07-28 11:27:30.072 AM,-14.4570217132568,2025-07-28 11:27:29.949 AM,-15.520040512085
2025-07-28 11:27:30.271 AM,-14.4619045257568,2025-07-28 11:27:30.148 AM,-15.5501403808594
2025-07-28 11:27:30.470 AM,-14.4635314941406,2025-07-28 11:27:30.346 AM,-15.5599021911621
2025-07-28 11:27:30.668 AM,-14.462718963623,2025-07-28 11:27:30.545 AM,-15.5639705657959
2025-07-28 11:27:30.867 AM,-14.455394744873,2025-07-28 11:27:30.744 AM,-15.5664119720459
2025-07-28 11:27:31.066 AM,-14.4586505889893,2025-07-28 11:27:30.942 AM,-15.5436325073242
2025-07-28 11:27:31.264 AM,-14.4659729003906,2025-07-28 11:27:31.141 AM,-15.5517673492432
2025-07-28 11:27:31.463 AM,-14.4488849639893,2025-07-28 11:27:31.340 AM,-15.5428199768066
2025-07-28 11:27:31.662 AM,-14.4440040588379,2025-07-28 11:27:31.539 AM,-15.5371246337891
2025-07-28 11:27:31.860 AM,-14.4423751831055,2025-07-28 11:27:31.737 AM,-15.5582752227783
2025-07-28 11:27:32.059 AM,-14.4114551544189,2025-07-28 11:27:31.936 AM,-15.5314311981201
2025-07-28 11:27:32.258 AM,-14.4073867797852,2025-07-28 11:27:32.135 AM,-15.5086517333984
2025-07-28 11:27:32.456 AM,-14.4082012176514,2025-07-28 11:27:32.334 AM,-15.4980773925781
2025-07-28 11:27:32.655 AM,-14.4204063415527,2025-07-28 11:27:32.532 AM,-15.4948234558105
2025-07-28 11:27:32.854 AM,-14.450511932373,2025-07-28 11:27:32.731 AM,-15.520040512085
2025-07-28 11:27:33.052 AM,-14.4610900878906,2025-07-28 11:27:32.930 AM,-15.545259475708
2025-07-28 11:27:33.251 AM,-14.4724826812744,2025-07-28 11:27:33.128 AM,-15.5810546875
2025-07-28 11:27:33.450 AM,-14.4594631195068,2025-07-28 11:27:33.327 AM,-15.5761737823486
2025-07-28 11:27:33.649 AM,-14.4391212463379,2025-07-28 11:27:33.526 AM,-15.5647850036621
2025-07-28 11:27:33.847 AM,-14.4285430908203,2025-07-28 11:27:33.725 AM,-15.5574626922607
2025-07-28 11:27:34.046 AM,-14.3894844055176,2025-07-28 11:27:33.923 AM,-15.5550212860107
2025-07-28 11:27:34.245 AM,-14.3756523132324,2025-07-28 11:27:34.122 AM,-15.5664119720459
2025-07-28 11:27:34.443 AM,-14.3894844055176,2025-07-28 11:27:34.321 AM,-15.5712928771973
2025-07-28 11:27:34.642 AM,-14.3870449066162,2025-07-28 11:27:34.520 AM,-15.5664119720459
2025-07-28 11:27:34.841 AM,-14.4269161224365,2025-07-28 11:27:34.718 AM,-15.5330581665039
2025-07-28 11:27:35.039 AM,-14.4334259033203,2025-07-28 11:27:34.917 AM,-15.520040512085
2025-07-28 11:27:35.238 AM,-14.4374942779541,2025-07-28 11:27:35.116 AM,-15.5314311981201
2025-07-28 11:27:35.437 AM,-14.4423751831055,2025-07-28 11:27:35.314 AM,-15.5379390716553
